SRR1930034	SRR1930035	SRR1930036	SRR1930037	SRR1930038	SRR1930039
ENSMUSG00000085918	0	0	1	0	0	0
ENSMUSG00000025329	1	0	1	1	1	0
ENSMUSG00000087045	0	0	0	0	0	0
ENSMUSG00000028927	356	394	460	400	379	279
ENSMUSG00000064443	1	1	0	0	0	0
ENSMUSG00000087698	15	12	18	8	17	14
ENSMUSG00000009863	1471	1336	1476	1768	1432	1372
ENSMUSG00000036622	1919	1765	1860	2128	1840	1748
ENSMUSG00000060572	34	19	30	22	35	42
ENSMUSG00000040860	1599	1392	1462	2076	1680	1817
ENSMUSG00000028923	321	313	296	415	356	340
ENSMUSG00000082246	0	0	3	1	0	2
ENSMUSG00000045004	9	8	7	12	7	15
ENSMUSG00000040842	575	512	533	672	495	498
ENSMUSG00000097620	17	14	13	21	17	16
ENSMUSG00000028920	540	598	538	531	558	540
ENSMUSG00000073733	22	20	29	36	24	28
ENSMUSG00000103366	0	2	1	1	1	1
ENSMUSG00000028919	60	59	45	67	56	49
ENSMUSG00000085774	0	0	0	0	1	0
ENSMUSG00000085395	3	2	1	0	0	0
ENSMUSG00000006445	17	7	18	18	20	21
ENSMUSG00000093180	0	0	0	0	0	0
ENSMUSG00000085836	0	0	0	0	0	0
ENSMUSG00000084238	0	0	1	1	0	0
ENSMUSG00000006218	19	19	15	21	16	8
ENSMUSG00000033770	0	1	1	0	1	0
ENSMUSG00000086061	0	0	0	0	0	0
ENSMUSG00000006216	0	1	0	0	1	2
ENSMUSG00000006221	3	0	3	3	2	4
ENSMUSG00000070637	41	25	28	37	41	39
ENSMUSG00000006215	758	625	698	858	666	657
ENSMUSG00000040761	1230	1927	1469	1489	1601	1744
ENSMUSG00000048406	68	40	45	61	42	45
ENSMUSG00000006219	9	0	6	15	16	14
ENSMUSG00000043085	1	1	5	9	2	11
ENSMUSG00000073731	0	0	0	0	0	0
ENSMUSG00000040740	58	75	72	133	108	117
ENSMUSG00000028917	1580	1553	1585	1792	1606	1617
ENSMUSG00000078515	1434	1537	1657	1709	1474	1636
ENSMUSG00000040715	0	0	0	0	0	0
ENSMUSG00000040706	12	13	21	19	17	12
ENSMUSG00000040697	1227	1208	1225	1340	1200	1250
ENSMUSG00000028914	295	311	280	293	267	236
ENSMUSG00000058579	0	1	0	1	0	0
ENSMUSG00000062478	0	0	0	0	0	0
ENSMUSG00000086818	0	0	0	0	0	0
ENSMUSG00000040659	2943	2963	3085	2949	2682	2336
ENSMUSG00000100396	12	27	31	34	27	24
ENSMUSG00000085922	1	0	2	1	3	6
ENSMUSG00000051435	95	101	113	136	122	136
ENSMUSG00000081079	0	0	0	0	0	0
ENSMUSG00000085424	0	0	2	1	0	0
ENSMUSG00000085761	0	2	1	0	1	2
ENSMUSG00000040616	31	25	36	41	30	32
ENSMUSG00000085574	0	0	0	0	1	0
ENSMUSG00000073728	3	1	5	3	4	1
ENSMUSG00000040606	1433	1210	1360	1502	1160	1145
ENSMUSG00000087525	0	2	0	2	0	3
ENSMUSG00000085816	6	7	6	6	6	12
ENSMUSG00000110067	5	8	10	2	8	6
ENSMUSG00000103678	0	0	0	0	1	0
ENSMUSG00000057637	1355	1610	1586	1740	1640	1669
ENSMUSG00000106597	0	0	0	0	0	0
ENSMUSG00000081838	7	10	8	12	8	14
ENSMUSG00000083826	3	4	1	3	7	2
ENSMUSG00000087903	0	2	1	2	1	3
ENSMUSG00000082575	67	52	57	81	56	71
ENSMUSG00000028583	139	145	142	180	142	147
ENSMUSG00000088395	0	0	0	0	0	0
ENSMUSG00000028584	23	25	31	42	26	28
ENSMUSG00000081792	0	0	0	1	1	1
ENSMUSG00000041805	0	1	0	0	0	0
ENSMUSG00000082407	0	0	0	0	0	0
ENSMUSG00000046862	323	262	308	351	263	237
ENSMUSG00000047799	0	0	0	0	0	0
ENSMUSG00000083930	6	7	0	3	1	5
ENSMUSG00000084059	0	0	0	0	0	0
ENSMUSG00000083403	0	0	0	0	0	0
ENSMUSG00000095409	0	0	0	0	0	0
ENSMUSG00000070616	0	0	0	0	0	0
ENSMUSG00000070618	0	0	0	0	0	0
ENSMUSG00000096154	0	0	0	0	0	0
ENSMUSG00000081523	0	0	0	0	0	0
ENSMUSG00000044377	9	6	11	10	5	11
ENSMUSG00000066688	0	0	0	0	0	0
ENSMUSG00000078513	0	0	0	0	0	0
ENSMUSG00000084351	0	0	0	0	0	0
ENSMUSG00000081227	162	170	229	291	160	224
ENSMUSG00000070617	0	0	0	0	0	0
ENSMUSG00000046435	0	0	0	0	0	0
ENSMUSG00000082717	0	0	0	0	0	0
ENSMUSG00000082030	0	0	0	0	0	0
ENSMUSG00000066031	0	0	0	0	0	0
ENSMUSG00000059218	0	0	0	0	0	0
ENSMUSG00000029451	0	0	0	0	0	0
ENSMUSG00000078512	0	0	0	0	0	0
ENSMUSG00000083749	0	0	0	0	0	0
ENSMUSG00000084123	0	0	0	0	0	0
ENSMUSG00000078511	0	0	0	0	0	0
ENSMUSG00000078510	0	0	0	0	0	1
ENSMUSG00000078509	0	0	0	0	0	0
ENSMUSG00000083456	0	0	0	0	0	0
ENSMUSG00000095987	1	0	0	0	0	2
ENSMUSG00000073724	0	0	0	0	0	0
ENSMUSG00000073723	0	0	0	0	0	0
ENSMUSG00000050810	0	0	0	0	0	0
ENSMUSG00000066030	0	0	0	0	0	0
ENSMUSG00000046262	0	0	0	0	0	0
ENSMUSG00000083708	6	7	6	11	6	12
ENSMUSG00000036749	0	0	0	0	0	0
ENSMUSG00000095960	0	0	0	0	0	0
ENSMUSG00000080943	0	0	0	0	0	0
ENSMUSG00000078508	0	0	0	0	0	0
ENSMUSG00000084312	0	0	0	0	0	0
ENSMUSG00000070619	0	0	0	0	0	0
ENSMUSG00000073721	0	0	0	0	0	0
ENSMUSG00000028591	0	0	0	0	0	0
ENSMUSG00000028590	0	0	0	0	0	0
ENSMUSG00000028589	0	0	0	0	0	0
ENSMUSG00000095213	0	0	0	0	0	0
ENSMUSG00000078507	0	0	0	0	0	0
ENSMUSG00000082835	0	0	0	0	0	0
ENSMUSG00000028593	0	0	0	0	0	0
ENSMUSG00000083390	0	1	1	0	0	0
ENSMUSG00000082418	0	2	0	0	0	0
ENSMUSG00000078506	0	0	0	0	0	0
ENSMUSG00000070610	15	16	18	18	20	33
ENSMUSG00000070609	0	0	0	0	0	0
ENSMUSG00000078505	0	0	0	0	0	0
ENSMUSG00000041735	0	0	0	0	0	0
ENSMUSG00000077327	0	0	0	0	0	0
ENSMUSG00000078504	0	0	0	0	0	0
ENSMUSG00000083998	1	3	1	1	1	0
ENSMUSG00000066026	281	185	206	317	186	212
ENSMUSG00000103911	0	0	0	0	0	1
ENSMUSG00000020220	3469	4279	4220	4145	4086	4162
ENSMUSG00000028599	53	48	61	67	50	47
ENSMUSG00000028602	11	3	5	27	24	28
ENSMUSG00000082758	0	0	0	0	0	0
ENSMUSG00000084272	0	0	0	0	0	0
ENSMUSG00000085101	0	0	0	0	0	0
ENSMUSG00000082082	0	0	1	0	0	0
ENSMUSG00000083081	1	0	0	0	0	0
ENSMUSG00000052912	9	7	8	36	2	6
ENSMUSG00000087076	1	0	0	1	0	0
ENSMUSG00000078503	0	0	0	0	0	1
ENSMUSG00000096864	0	0	0	0	0	0
ENSMUSG00000082352	0	0	0	0	0	0
ENSMUSG00000083454	8	6	10	12	12	11
ENSMUSG00000080732	0	0	0	0	0	0
ENSMUSG00000078502	3	1	1	2	32	3
ENSMUSG00000097661	0	0	0	0	0	0
ENSMUSG00000083562	0	0	0	0	0	0
ENSMUSG00000081885	1	1	1	0	0	1
ENSMUSG00000095517	0	0	0	0	0	0
ENSMUSG00000058186	0	0	0	0	0	0
ENSMUSG00000082615	0	0	0	0	0	0
ENSMUSG00000084279	0	0	0	0	0	0
ENSMUSG00000082334	0	1	2	0	0	0
ENSMUSG00000087513	0	0	0	0	0	0
ENSMUSG00000094417	1	7	2	0	4	0
ENSMUSG00000094177	0	0	0	0	0	0
ENSMUSG00000084350	10	19	13	18	11	9
ENSMUSG00000096233	0	2	2	1	4	4
ENSMUSG00000083235	0	0	0	0	0	0
ENSMUSG00000078500	0	0	0	0	1	0
ENSMUSG00000081595	1	1	1	0	0	0
ENSMUSG00000082195	1	1	0	1	1	1
ENSMUSG00000083733	0	0	0	0	0	0
ENSMUSG00000066009	0	0	0	0	0	0
ENSMUSG00000096958	0	0	0	0	0	0
ENSMUSG00000066007	0	0	0	0	0	0
ENSMUSG00000086654	0	0	0	0	0	0
ENSMUSG00000081522	0	0	1	0	0	0
ENSMUSG00000081671	0	0	0	0	0	0
ENSMUSG00000084127	0	0	1	0	0	0
ENSMUSG00000085525	0	0	0	0	0	0
ENSMUSG00000081460	0	0	1	0	0	0
ENSMUSG00000095096	0	0	0	0	0	0
ENSMUSG00000070605	9	7	11	17	5	10
ENSMUSG00000073716	1	2	0	1	0	0
ENSMUSG00000081998	0	2	1	1	1	2
ENSMUSG00000056300	2	0	2	3	0	0
ENSMUSG00000096979	0	0	0	0	0	0
ENSMUSG00000086046	0	0	0	0	0	0
ENSMUSG00000095865	0	0	0	0	0	0
ENSMUSG00000083038	0	0	0	0	0	0
ENSMUSG00000096366	0	0	0	0	0	0
ENSMUSG00000095460	0	0	0	0	0	0
ENSMUSG00000063245	2	0	1	3	3	3
ENSMUSG00000045699	0	0	0	0	0	0
ENSMUSG00000093919	0	0	2	0	0	0
ENSMUSG00000083027	4	6	3	3	5	2
ENSMUSG00000081260	0	0	0	0	0	0
ENSMUSG00000086147	0	0	0	0	0	0
ENSMUSG00000097168	0	1	0	0	0	0
ENSMUSG00000067919	0	0	1	0	0	0
ENSMUSG00000083704	0	0	0	0	0	0
ENSMUSG00000093617	0	0	0	0	0	0
ENSMUSG00000094017	0	0	0	0	0	0
ENSMUSG00000081405	2	1	0	3	0	19
ENSMUSG00000082779	4	3	4	17	7	9
ENSMUSG00000094849	1	0	1	0	0	0
ENSMUSG00000067916	7	14	20	15	4	15
ENSMUSG00000097122	3	1	5	2	3	0
ENSMUSG00000095054	1	6	7	3	0	2
ENSMUSG00000082176	0	1	0	0	1	0
ENSMUSG00000087207	0	0	3	2	0	0
ENSMUSG00000081627	0	0	0	2	0	0
ENSMUSG00000082925	2	3	2	5	6	5
ENSMUSG00000094318	0	0	0	0	0	0
ENSMUSG00000078498	1	1	1	0	0	1
ENSMUSG00000078497	0	0	0	0	0	0
ENSMUSG00000096354	0	0	0	0	0	0
ENSMUSG00000082248	3	0	0	8	2	3
ENSMUSG00000093975	1	0	3	3	0	0
ENSMUSG00000078496	8	8	16	11	10	11
ENSMUSG00000081301	1	1	0	3	0	2
ENSMUSG00000096440	0	0	1	1	0	2
ENSMUSG00000082599	0	0	0	1	0	0
ENSMUSG00000078160	10	7	9	13	15	14
ENSMUSG00000065999	0	1	1	1	0	0
ENSMUSG00000066000	5	6	6	12	5	8
ENSMUSG00000096065	0	0	0	0	0	0
ENSMUSG00000086130	0	0	0	0	0	0
ENSMUSG00000062518	0	0	0	1	0	0
ENSMUSG00000096521	0	0	1	0	0	0
ENSMUSG00000081179	2	1	1	0	2	6
ENSMUSG00000083642	0	0	1	1	2	0
ENSMUSG00000078495	51	45	70	97	33	85
ENSMUSG00000093594	3	1	6	4	5	7
ENSMUSG00000080059	28	25	28	50	30	33
ENSMUSG00000059423	713	710	686	920	721	748
ENSMUSG00000029022	242	231	228	281	266	245
ENSMUSG00000070583	73	64	75	91	82	76
ENSMUSG00000029020	1863	2308	2009	2209	2147	1904
ENSMUSG00000083340	7	2	3	2	2	1
ENSMUSG00000019055	252	242	251	318	278	231
ENSMUSG00000044496	430	368	414	515	439	377
ENSMUSG00000029019	0	0	1	0	0	1
ENSMUSG00000041616	2	2	3	3	4	8
ENSMUSG00000086806	2	2	2	1	6	2
ENSMUSG00000029016	1527	1524	1552	1525	1349	1369
ENSMUSG00000083473	5	13	6	8	4	9
ENSMUSG00000029009	545	595	591	693	597	630
ENSMUSG00000094320	9	7	7	5	5	4
ENSMUSG00000078494	0	0	1	0	0	0
ENSMUSG00000029007	133	122	137	148	103	119
ENSMUSG00000029005	17	17	7	23	13	12
ENSMUSG00000029003	68	80	72	74	73	67
ENSMUSG00000055401	275	269	316	342	297	275
ENSMUSG00000099043	0	1	0	0	0	0
ENSMUSG00000029001	1736	1403	1776	2026	1599	1625
ENSMUSG00000041556	671	623	632	734	564	555
ENSMUSG00000041544	732	614	656	845	685	599
ENSMUSG00000087027	3	3	2	1	0	3
ENSMUSG00000086326	0	0	0	0	0	1
ENSMUSG00000047719	168	173	182	217	171	139
ENSMUSG00000064648	2	0	4	2	0	1
ENSMUSG00000028991	2284	2593	2562	2838	2586	2564
ENSMUSG00000028989	17	13	14	22	19	17
ENSMUSG00000089081	0	0	1	2	0	0
ENSMUSG00000088625	5	5	1	2	5	6
ENSMUSG00000017264	767	751	789	857	712	758
ENSMUSG00000082860	39	35	37	40	36	37
ENSMUSG00000087217	1	3	3	1	3	3
ENSMUSG00000006442	172	221	164	193	200	165
ENSMUSG00000028979	11	7	17	18	12	14
ENSMUSG00000041459	1086	1450	1301	1419	1271	1293
ENSMUSG00000070577	0	0	0	0	0	2
ENSMUSG00000087273	0	0	0	0	1	0
ENSMUSG00000028977	69	73	67	92	55	58
ENSMUSG00000086766	0	0	0	0	0	0
ENSMUSG00000086606	58	56	45	68	37	26
ENSMUSG00000086740	16	11	13	18	26	15
ENSMUSG00000028975	315	290	333	381	278	292
ENSMUSG00000081086	2	5	2	6	3	7
ENSMUSG00000028974	471	475	410	518	490	381
ENSMUSG00000028971	55	50	42	59	93	75
ENSMUSG00000073705	32	22	13	37	28	21
ENSMUSG00000080746	163	132	11	585	120	242
ENSMUSG00000028961	146	200	189	187	159	175
ENSMUSG00000063077	19718	22771	21843	22240	20526	21313
ENSMUSG00000028960	1362	1690	1430	1541	1658	1416
ENSMUSG00000085286	13	11	6	5	13	9
ENSMUSG00000085807	2	3	4	2	2	4
ENSMUSG00000085819	26	54	40	32	37	65
ENSMUSG00000028996	1	1	1	0	1	1
ENSMUSG00000070572	10	7	7	9	8	3
ENSMUSG00000028992	95	71	91	113	104	91
ENSMUSG00000087198	3	4	4	5	3	2
ENSMUSG00000028990	112	100	118	114	101	105
ENSMUSG00000083811	6	6	11	13	8	6
ENSMUSG00000084646	0	0	0	0	0	0
ENSMUSG00000028988	402	388	397	503	389	381
ENSMUSG00000093403	0	0	0	1	0	0
ENSMUSG00000086949	1	0	0	0	0	1
ENSMUSG00000039953	29189	28795	30905	35347	30340	31312
ENSMUSG00000039936	461	508	501	516	495	534
ENSMUSG00000098580	0	0	0	0	0	0
ENSMUSG00000044700	1003	1051	1064	1165	1083	1022
ENSMUSG00000028982	156	209	220	262	190	194
ENSMUSG00000085403	3	1	4	4	2	1
ENSMUSG00000085368	0	0	0	0	0	0
ENSMUSG00000084807	0	0	0	0	0	0
ENSMUSG00000081601	0	0	0	0	0	0
ENSMUSG00000083173	0	0	0	0	0	0
ENSMUSG00000064798	0	0	0	0	0	0
ENSMUSG00000106221	0	0	0	0	0	0
ENSMUSG00000039911	511	479	546	495	472	491
ENSMUSG00000086767	2	2	2	2	1	3
ENSMUSG00000028980	227	182	223	244	199	232
ENSMUSG00000086665	1	0	2	2	1	3
ENSMUSG00000065493	0	0	0	0	0	0
ENSMUSG00000102813	9	12	13	22	13	14
ENSMUSG00000047875	51	42	35	32	30	35
ENSMUSG00000087094	6	3	8	5	4	6
ENSMUSG00000028976	43	56	60	70	58	32
ENSMUSG00000062064	0	0	0	0	0	0
ENSMUSG00000028972	0	0	0	0	0	0
ENSMUSG00000082140	0	0	0	0	2	0
ENSMUSG00000063524	6643	7015	6705	7495	6789	5964
ENSMUSG00000039852	1456	1778	1576	1713	1627	1739
ENSMUSG00000085787	26	17	22	34	24	15
ENSMUSG00000089292	0	0	2	5	1	2
ENSMUSG00000085213	20	28	29	23	28	20
ENSMUSG00000039838	837	820	932	958	880	843
ENSMUSG00000085869	0	0	0	0	0	0
ENSMUSG00000085097	0	0	0	0	0	0
ENSMUSG00000078492	0	0	0	0	0	0
ENSMUSG00000084314	9	9	6	19	8	6
ENSMUSG00000028967	693	902	911	724	902	788
ENSMUSG00000028964	987	886	1007	1171	981	969
ENSMUSG00000028965	8	4	4	11	9	9
ENSMUSG00000014592	4215	5911	5204	4409	4707	4434
ENSMUSG00000064476	0	1	1	0	0	1
ENSMUSG00000028963	5	3	5	3	6	3
ENSMUSG00000028957	970	1457	1411	1235	1448	1602
ENSMUSG00000028955	326	361	382	379	322	345
ENSMUSG00000078491	5	14	13	8	7	9
ENSMUSG00000085593	3	3	4	10	3	5
ENSMUSG00000104142	0	0	0	0	0	0
ENSMUSG00000039768	1047	945	1082	1310	1073	1153
ENSMUSG00000039759	63	64	72	72	65	57
ENSMUSG00000047777	243	248	264	224	281	225
ENSMUSG00000108391	19	16	22	20	20	30
ENSMUSG00000073700	139	177	197	174	190	175
ENSMUSG00000028952	126	125	146	134	139	131
ENSMUSG00000028950	65	95	86	91	81	75
ENSMUSG00000028948	334	312	306	360	317	313
ENSMUSG00000039713	1556	1409	1544	1627	1651	1614
ENSMUSG00000024793	65	94	90	98	109	125
ENSMUSG00000028943	67	83	72	82	94	92
ENSMUSG00000081544	18	18	17	21	21	21
ENSMUSG00000028940	0	0	0	0	0	0
ENSMUSG00000028937	1593	1540	1472	1816	1558	1375
ENSMUSG00000098385	1	2	1	1	0	1
ENSMUSG00000085724	0	6	3	3	4	1
ENSMUSG00000042804	174	192	245	268	278	307
ENSMUSG00000028946	3	1	0	5	1	4
ENSMUSG00000039662	1054	1031	1078	1244	1081	1088
ENSMUSG00000058498	70	55	74	109	101	97
ENSMUSG00000028936	850	903	868	1135	876	808
ENSMUSG00000005045	4481	5571	4952	5108	5115	5246
ENSMUSG00000085179	3	4	0	5	0	5
ENSMUSG00000028931	7037	6772	7194	7356	6333	6150
ENSMUSG00000090057	9	9	8	8	7	19
ENSMUSG00000089757	7	11	12	11	12	13
ENSMUSG00000039577	300	319	343	333	388	338
ENSMUSG00000083078	0	0	0	0	0	0
ENSMUSG00000073699	0	0	0	1	0	0
ENSMUSG00000080360	0	0	0	0	0	0
ENSMUSG00000085648	0	0	0	0	0	0
ENSMUSG00000087454	0	0	0	0	0	0
ENSMUSG00000039546	1170	1040	1081	1353	1265	1149
ENSMUSG00000077519	0	0	0	0	0	0
ENSMUSG00000085390	0	0	0	0	0	0
ENSMUSG00000086272	8	4	3	5	4	1
ENSMUSG00000047613	153	186	209	189	242	172
ENSMUSG00000029027	92	92	78	111	83	99
ENSMUSG00000039523	256	371	301	339	329	320
ENSMUSG00000029028	293	289	241	330	265	269
ENSMUSG00000078350	101	76	121	117	108	97
ENSMUSG00000039492	1	4	3	10	10	9
ENSMUSG00000080807	1	1	2	2	3	0
ENSMUSG00000082073	0	1	1	1	0	0
ENSMUSG00000029026	4	2	2	3	1	4
ENSMUSG00000087071	0	1	0	0	0	0
ENSMUSG00000088774	0	0	0	0	0	0
ENSMUSG00000029029	273	259	286	346	333	305
ENSMUSG00000029030	2171	1974	2164	2677	2152	1897
ENSMUSG00000057751	32	37	37	43	37	40
ENSMUSG00000081276	0	0	1	0	0	0
ENSMUSG00000029032	3	3	2	7	4	2
ENSMUSG00000039410	211	196	172	186	192	175
ENSMUSG00000097871	1	1	2	4	3	1
ENSMUSG00000086565	2	3	2	1	2	1
ENSMUSG00000084987	3	4	1	4	2	5
ENSMUSG00000085069	228	219	221	275	206	169
ENSMUSG00000098424	17	11	12	13	9	9
ENSMUSG00000086810	16	19	19	30	23	29
ENSMUSG00000051276	0	0	0	0	0	0
ENSMUSG00000046637	23	13	21	27	24	30
ENSMUSG00000087437	5	4	2	4	3	8
ENSMUSG00000058183	27	37	36	30	48	52
ENSMUSG00000029059	372	382	420	455	412	388
ENSMUSG00000042333	4	2	3	9	4	7
ENSMUSG00000092483	1	3	2	3	1	1
ENSMUSG00000048001	29	21	30	55	29	25
ENSMUSG00000029056	649	519	608	795	586	633
ENSMUSG00000029055	1595	1534	1570	1458	1277	1205
ENSMUSG00000073686	10	13	11	11	9	6
ENSMUSG00000029047	179	161	172	199	170	183
ENSMUSG00000029048	827	798	844	1134	827	946
ENSMUSG00000029049	69	64	77	86	90	95
ENSMUSG00000029050	2839	3097	2844	3288	3126	3175
ENSMUSG00000073684	111	118	114	130	123	102
ENSMUSG00000029053	4503	3780	4678	5732	4804	4792
ENSMUSG00000098729	21	25	16	24	18	14
ENSMUSG00000029054	878	848	958	1154	978	951
ENSMUSG00000084803	19	22	23	35	31	28
ENSMUSG00000078490	230	202	234	250	247	262
ENSMUSG00000023153	2	4	12	10	13	12
ENSMUSG00000029064	4405	5330	4741	5208	4627	4353
ENSMUSG00000082429	1	1	1	3	2	2
ENSMUSG00000029063	888	826	978	1292	995	1012
ENSMUSG00000042202	1316	1546	1434	1616	1387	1445
ENSMUSG00000086682	81	130	107	117	101	116
ENSMUSG00000073682	3	3	7	6	3	5
ENSMUSG00000085063	3	2	0	3	0	1
ENSMUSG00000029062	553	651	578	631	586	631
ENSMUSG00000029061	25	25	20	26	26	23
ENSMUSG00000029060	1960	1792	1983	2262	1850	1891
ENSMUSG00000074738	361	334	386	369	324	298
ENSMUSG00000029038	507	427	641	738	614	557
ENSMUSG00000064916	2	4	3	6	2	2
ENSMUSG00000096221	45	32	41	43	38	46
ENSMUSG00000084845	542	509	578	713	555	617
ENSMUSG00000029036	644	633	595	703	578	650
ENSMUSG00000054514	11	13	5	16	7	12
ENSMUSG00000042116	213	234	241	288	315	271
ENSMUSG00000097728	30	20	20	27	16	25
ENSMUSG00000073680	349	391	378	296	282	250
ENSMUSG00000098638	0	0	0	0	0	0
ENSMUSG00000078487	1	0	0	0	1	0
ENSMUSG00000029066	410	307	427	574	416	416
ENSMUSG00000029068	1629	1629	1726	1937	1579	1740
ENSMUSG00000065990	545	511	571	758	580	599
ENSMUSG00000073679	0	2	3	1	2	1
ENSMUSG00000029070	87	51	63	89	92	81
ENSMUSG00000029071	2130	1820	2084	2520	2001	2041
ENSMUSG00000029072	64	75	54	66	73	62
ENSMUSG00000029073	217	247	220	259	213	227
ENSMUSG00000029034	280	300	307	379	297	309
ENSMUSG00000051557	212	181	208	261	225	205
ENSMUSG00000029033	1925	1938	2024	2155	1962	1823
ENSMUSG00000096174	0	0	0	0	0	0
ENSMUSG00000023286	449	405	444	532	447	475
ENSMUSG00000023571	82	87	87	112	88	95
ENSMUSG00000050796	223	189	224	314	237	204
ENSMUSG00000029076	3145	3239	3395	3561	3137	3101
ENSMUSG00000029075	17	16	5	11	12	12
ENSMUSG00000103183	60	75	78	73	76	104
ENSMUSG00000087381	21	14	23	16	24	30
ENSMUSG00000088545	2	0	1	1	1	0
ENSMUSG00000041954	38	42	39	38	40	39
ENSMUSG00000029074	1	0	2	2	2	0
ENSMUSG00000086549	2	3	0	3	3	2
ENSMUSG00000065427	0	0	0	0	0	0
ENSMUSG00000065400	1	0	0	0	0	0
ENSMUSG00000065549	0	0	0	1	0	0
ENSMUSG00000059939	327	309	315	391	331	350
ENSMUSG00000110404	12	20	19	14	21	21
ENSMUSG00000041936	3304	3209	3305	4111	3617	3574
ENSMUSG00000035692	5	3	8	12	8	6
ENSMUSG00000078349	37	27	30	34	29	16
ENSMUSG00000078486	37	45	45	63	34	49
ENSMUSG00000078485	65	67	70	79	78	79
ENSMUSG00000078484	726	659	709	782	728	709
ENSMUSG00000098954	0	0	0	0	0	0
ENSMUSG00000095567	1066	945	966	1249	1084	973
ENSMUSG00000096351	22	20	26	32	29	21
ENSMUSG00000057021	0	0	0	0	0	0
ENSMUSG00000096042	0	0	0	1	0	1
ENSMUSG00000098947	0	0	0	0	0	0
ENSMUSG00000090577	0	0	0	0	0	0
ENSMUSG00000105722	0	0	0	0	0	0
ENSMUSG00000106520	0	0	0	0	0	0
ENSMUSG00000106504	0	0	0	0	0	0
ENSMUSG00000090701	0	0	0	0	0	0
ENSMUSG00000091936	0	0	0	0	0	1
ENSMUSG00000106399	0	0	0	0	0	0
ENSMUSG00000091483	0	0	0	0	0	0
ENSMUSG00000105800	0	0	0	0	0	0
ENSMUSG00000062353	1	2	3	2	2	2
ENSMUSG00000106658	0	0	0	2	0	1
ENSMUSG00000040274	84	109	99	76	71	78
ENSMUSG00000106588	0	0	0	0	0	2
ENSMUSG00000105534	1	0	0	1	0	1
ENSMUSG00000058503	626	618	623	664	536	602
ENSMUSG00000105656	1	6	6	6	3	2
ENSMUSG00000065044	0	0	0	0	0	0
ENSMUSG00000008307	119	117	107	110	133	132
ENSMUSG00000040302	211	192	206	250	221	214
ENSMUSG00000104891	32	35	23	32	27	44
ENSMUSG00000005907	398	497	384	523	460	501
ENSMUSG00000105130	0	5	5	3	7	8
ENSMUSG00000104950	97	90	115	106	114	103
ENSMUSG00000007415	1462	1484	1444	1816	1587	1533
ENSMUSG00000014529	0	0	0	1	0	2
ENSMUSG00000093279	0	0	0	0	0	0
ENSMUSG00000040351	2765	2866	3159	3694	3147	3123
ENSMUSG00000092698	0	0	0	0	0	0
ENSMUSG00000105950	27	26	27	24	25	59
ENSMUSG00000000600	1650	1926	1806	2105	1933	2166
ENSMUSG00000040367	7	6	10	15	10	16
ENSMUSG00000104699	2	0	0	0	2	1
ENSMUSG00000040429	49	39	50	56	36	60
ENSMUSG00000040407	2480	3281	2984	3175	3322	3315
ENSMUSG00000105893	14	22	24	9	17	19
ENSMUSG00000106535	30	31	33	35	34	46
ENSMUSG00000001467	1172	1539	1416	1445	1252	1142
ENSMUSG00000053178	22	8	8	12	12	16
ENSMUSG00000044674	401	363	463	421	437	394
ENSMUSG00000083921	1	4	2	3	2	1
ENSMUSG00000105560	13	17	11	10	16	11
ENSMUSG00000104656	3	2	2	4	6	3
ENSMUSG00000028926	3185	4036	3952	3471	3196	3325
ENSMUSG00000106212	13	22	13	13	15	28
ENSMUSG00000105062	13	17	18	14	19	18
ENSMUSG00000093159	2	3	0	2	0	4
ENSMUSG00000106472	17	29	26	18	19	31
ENSMUSG00000106272	0	0	0	0	0	0
ENSMUSG00000105400	0	0	0	0	0	0
ENSMUSG00000106054	10	14	14	7	10	12
ENSMUSG00000105287	10	22	17	3	16	14
ENSMUSG00000105864	39	51	51	30	44	68
ENSMUSG00000106202	1	2	2	5	2	7
ENSMUSG00000104867	3	3	5	2	0	2
ENSMUSG00000079666	2	3	2	3	2	3
ENSMUSG00000046798	910	894	936	1050	874	864
ENSMUSG00000040464	173	147	145	172	177	155
ENSMUSG00000104716	0	0	0	0	0	0
ENSMUSG00000073234	1	3	1	5	2	4
ENSMUSG00000040473	439	552	482	558	515	572
ENSMUSG00000015653	375	383	394	382	358	289
ENSMUSG00000105996	0	0	0	0	1	0
ENSMUSG00000015652	1	3	1	2	5	3
ENSMUSG00000097554	5	9	4	8	4	3
ENSMUSG00000100801	0	0	0	0	0	0
ENSMUSG00000104952	0	0	0	0	0	0
ENSMUSG00000088692	0	0	0	0	0	0
ENSMUSG00000105370	1	0	0	1	0	0
ENSMUSG00000106308	0	0	0	0	0	0
ENSMUSG00000088380	0	0	0	0	0	0
ENSMUSG00000106064	0	1	0	0	0	0
ENSMUSG00000104663	0	0	0	1	1	1
ENSMUSG00000105487	0	0	0	1	0	0
ENSMUSG00000106532	1	1	0	1	1	0
ENSMUSG00000092094	94	106	126	158	146	139
ENSMUSG00000064851	0	2	1	1	2	1
ENSMUSG00000095159	12	13	17	22	9	19
ENSMUSG00000105711	7	5	9	8	7	9
ENSMUSG00000105980	4	7	6	4	12	13
ENSMUSG00000105832	0	1	2	2	2	3
ENSMUSG00000040514	29	35	28	40	34	46
ENSMUSG00000098077	0	2	0	1	1	0
