Model Species,Model Gene symbol, Model Gene Name, Human Gene Symbol, Entrez Gene ID, MGI ID, ABA ID, Model ID, Primary Reference, Additional Reference, Model Summary
Mus musculus,Esrrb,"Estrogen related receptor, beta",ESRRB,26380,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=43303,http://mouse.brain-map.org/brain/Esrrb.html?ispopup=22,"ESRRB_1_CN_KO_HM,ESRRB_2_M_CN_KO_HM",17765677,,Identification of a set of genes that is likely to play a role in the development and/or function of endolymph-producing epithelia.
Mus musculus,Ext1,exostoses (multiple) 1,EXT1,14042,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=32933,http://mouse.brain-map.org/gene/show/13819,EXT1_1_CN_KO_HM,22411800,,Heparan Sulfate is critical for normal functioning of glutamatergic synapses and its deficiency mediates socio-communicative deficits and stereotypies characteristic for autism
Mus musculus,Fezf2,Fez family zinc finger 2,FEZF2,54713,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=46897,http://mouse.brain-map.org/brain/Fezf2.html?ispopup=23,FEZF2_1_KO_HM,15188439,,Possible link between the transcriptional regulation of forebrain development and hyperactive behavio
Mus musculus,Fmr1,fragile X mental retardation syndrome 1 homolog,FMR1,14265,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=8856,http://mouse.brain-map.org/brain/Fmr1.html?ispopup=24,"FMR1_10_KO_HM,FMR1_1_KO_HM,FMR1_3_KO_HM,FMR1_4_CN_KO_HM,FMR1_9_KO_HM,FMR1_2_KO_HM,FMR1_1_KO_HM_Lithium-acute,FMR1_1_KO_HM_Lithium-chronic,FMR1_1_KO_HM_MPEP,FMR1_6_I304N_HM,FMR1_11_KO_HM,FMR1_5_KI_HM,FMR1_1_KO_HM_APP,FMR1_1_KO_HM_MIN,FMR1_2_KO_HM_CTEP_A,FMR1_2_KO_HM_CTEP_C,FMR1_8_KO_HM,FMR1_8_KO_HM_S6K1_DM-hm,FMR1_8_KO_HM_S6K1_DM-ht,FMR1_7_KO_HM,FMR1_7_KO_HM_FRAX486_H,FMR1_7_KO_HM_FRAX486_L,FMR1_7_KO_HM_FRAX486_L_d,FMR1_7_KO_HM_FRAX486_M,FMR1_7_KO_HM_FRAX486_M_d,FMR1_7_KO_HM_FRAX486_M_s,FMR1_7_KO_HM_MIN,Fmr1_1_KO_HM_5HT2bAG+D1AG+PI3K inhibitor,Fmr1_1_KO_HM_5HT2bAG-CA1,Fmr1_1_KO_HM_5HT2bAG-L2-3,Fmr1_1_KO_HM_5HT2bAG_D1AG,Fmr1_1_KO_HM_D1AG-CA1,Fmr1_1_KO_HM_D1AG-L2-3,Fmr1_1_KO_HM_GluA1CT-5HT2bAG+D1AG,FMR1_3_KO_HM-Bumetanide,SYNGAP1_9_KO_FMR1_DM",8033209,###############################################################################################################################################################################################################################################################,Fragile X Syndrome
Mus musculus,Fmr1,fragile X mental retardation syndrome 1 homolog,FMR1,14265,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=8856,http://mouse.brain-map.org/brain/Fmr1.html?ispopup=24,"FMR1_10_KO_HM,FMR1_1_KO_HM,FMR1_3_KO_HM,FMR1_4_CN_KO_HM,FMR1_9_KO_HM,FMR1_2_KO_HM,FMR1_1_KO_HM_Lithium-acute,FMR1_1_KO_HM_Lithium-chronic,FMR1_1_KO_HM_MPEP,FMR1_6_I304N_HM,FMR1_11_KO_HM,FMR1_5_KI_HM,FMR1_1_KO_HM_APP,FMR1_1_KO_HM_MIN,FMR1_2_KO_HM_CTEP_A,FMR1_2_KO_HM_CTEP_C,FMR1_8_KO_HM,FMR1_8_KO_HM_S6K1_DM-hm,FMR1_8_KO_HM_S6K1_DM-ht,FMR1_7_KO_HM,FMR1_7_KO_HM_FRAX486_H,FMR1_7_KO_HM_FRAX486_L,FMR1_7_KO_HM_FRAX486_L_d,FMR1_7_KO_HM_FRAX486_M,FMR1_7_KO_HM_FRAX486_M_d,FMR1_7_KO_HM_FRAX486_M_s,FMR1_7_KO_HM_MIN,Fmr1_1_KO_HM_5HT2bAG+D1AG+PI3K inhibitor,Fmr1_1_KO_HM_5HT2bAG-CA1,Fmr1_1_KO_HM_5HT2bAG-L2-3,Fmr1_1_KO_HM_5HT2bAG_D1AG,Fmr1_1_KO_HM_D1AG-CA1,Fmr1_1_KO_HM_D1AG-L2-3,Fmr1_1_KO_HM_GluA1CT-5HT2bAG+D1AG,FMR1_3_KO_HM-Bumetanide,SYNGAP1_9_KO_FMR1_DM",8033209,###############################################################################################################################################################################################################################################################,Fragile X Syndrome
Mus musculus,Folh1,folate hydrolase,FOLH1,53320,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=46335,http://mouse.brain-map.org/gene/show/32800,"FOLH1_1_KO_HT,FOLH1_2_KO_HM,FOLH1_1_KO_HT_FD",19347959,22076974,Folh1 knockout appears to be both a good model to study NMDA receptor hypofunction as well as some of the behavioral characteristics of schizophrenia
Mus musculus,Foxg1,Forkhead box G1,FOXG1,15228,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=43537,http://mouse.brain-map.org/brain/Foxg1.html?ispopup=94,FOXG1_1_KI_HT,17640820,,"Important role for Foxg1 in cortical development, reveal noteworthy complexity in the invocation of specific mechanisms underlying phenotypes."
Mus musculus,Foxp1,forkhead box P1,FOXP1,108655,http://www.informatics.jax.org/marker/MGI:1914004,http://mouse.brain-map.org/brain/Foxp1.html?ispopup=25,"FOXP1_1_CKO_HM,FOXP1_2_CKO_HT,FOXP1_3_KO_HT,FOXP1_4_KO_HT,FOXP1_5_KO_HT",25266127,26494785,"Homozygous conditional brain-specific knockout mice display neuroanatomical anomalies in the striatum and hippocampus, as well as altered spontaneous synaptic transmission, and impaired cognitive function and social behavior"
Mus musculus,Foxp2,forkhead box P2,FOXP2,114142,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=75771,http://mouse.brain-map.org/brain/Foxp2.html?ispopup=25,"FOXP2_1_KO_HM,FOXP2_2_KO_HT,FOXP2_3_CN_KO_HM,FOXP2_4_CN_KO_HT,FOXP2_5_KI_HM,FOXP2_6_KO_HT,FOXP2_7_R552H_HT,FOXP2_8_S321X_HT",15983371,"176,192,271,949,089,000,000,000","Homozygous knockout mice display severe motor impairment, postnatal lethality, and reduced ultrasonic vocalizations."
Mus musculus,Gabra5,"Gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5",GABRA5,110886,http://www.informatics.jax.org/marker/MGI:95617,http://mouse.brain-map.org/gene/show/75040,GABRA5_1_KO_HM,27231709,,Deletion of GABRA5 in mice causes autism-like symptoms including reduced social interaction and ultrasonic vocalizations
Mus musculus,Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",GABRB3,14402,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=8952,http://mouse.brain-map.org/brain/Gabrb3.html?ispopup=26,"GABRB3_1_KO_HM,GABRB3_3_KO_HT_m,GABRB3_4_KO_HT_p,GABRB3_5_KO_HT_p,GABRB3_6_KO_HT_m,GABRB3_7_KO_HT,GABRB3_8_CKO_HM,GABRB3_8_CKO_HT,GABRB3_9_CKO_HT,GABRB3_1_KO_HM_baclo,GABRB3_1_KO_HM_Carba,GABRB3_1_KO_HM_CGP,GABRB3_1_KO_HM_Clona,GABRB3_1_KO_HM_Etho,GABRB3_1_KO_HM_THIP,GABRB3_1_KO_HM_VPA,GABRB3_2_KO_HT",9763493,"158,782,041,798,367,000,000,000,000,000,000,000,000",Loss of Gabrb3 is sufficient to cause phenotypic traits that have marked similarities to the clinical features of Angelman Syndrome
Mus musculus,Gad1,glutamate decarboxylase 1,GAD1,14415,http://www.informatics.jax.org/marker/MGI:95632,,Gad1_2_KO_HT,,24612522,Gad1 KO mice die at birth with cleft palate and apnea. They have decreased levels of glutamic acid decarboxylase and gamma-aminobutyric acid in the cerebral cortex
Mus musculus,Gadd45b,growth arrest and DNA-damage-inducible 45 beta,GADD45B,17873,http://www.informatics.jax.org/marker/MGI:107776,http://mouse.brain-map.org/gene/show/17640,GADD45B_1_KO_HM,22802593,,"Gadd45b may be a novel therapeutic target for the cognitive deficits associated with many neurodevelopmental, neurological, and psychiatric disorders"
Mus musculus,Gadd45b,growth arrest and DNA-damage-inducible 45 beta,GADD45B,17873,http://www.informatics.jax.org/marker/MGI:107776,http://mouse.brain-map.org/gene/show/17640,GADD45B_1_KO_HM,22802593,,"Gadd45b may be a novel therapeutic target for the cognitive deficits associated with many neurodevelopmental, neurological, and psychiatric disorders"
Mus musculus,Gap43,growth associated protein 43,GAP43,14432,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=8980,http://mouse.brain-map.org/brain/Gap43.html?ispopup=27,GAP43_1_KO_HT,20707874,,Development of a subset of autistic-like symptoms
Mus musculus,Glra2,"glycine receptor, alpha 2 subunit",GLRA2,237213,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=9145,http://mouse.brain-map.org/brain/Glra2.html?ispopup=28,GLRA2_1_KO_HM,16847326,,Glra2 knockout mice did not show any electrophysiological responses to glycine.
Mus musculus,Grid1,"glutamate receptor, ionotropic, delta 1",GRID1,14803,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=9264,http://mouse.brain-map.org/gene/show/14579,GRID1_1_KO_HM,22412961,,Deletion of Grid1 leads to aberrant circuitry in prefrontal cortex and amygdala owing to its potential role in presynaptic differentiation and synapse formation
Mus musculus,Grid2,"glutamate receptor, ionotropic, delta 2",GRID2,14804,MGI:95813,,"Grid2_1_SP_Del,Grid2_2_KO_HM",24078737,,Grid2 loss of function mutation leads to  ataxia and cerebellar disorders along with eye movement abnormalities
Mus musculus,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",GRIK2,14806,http://www.informatics.jax.org/marker/MGI:95815,http://mouse.brain-map.org/gene/show/14582,GRIK2_1_KO_HM,23223307,,"Mutation in a gene linked to ID in the human may lead to a transiet reduction of synaptic strength during postnatal development, impacting on the proper formation of neural circuits linked to memory"
Mus musculus,Grik4,"Glutamate receptor, ionotropic, kainate 4",GRIK4,110637,http://www.informatics.jax.org/marker/MGI:95817,,"Grik4_3_KO_HM,Grik4_2_KO_HM,Grik4_2_KO_HM_Kainate,Grik4_1_TG,Grik4_1_TG_Flouxetine,Grik4_1_TG_Tianeptine",,"222,031,592,335,711,000,000,000",Overexpression of Grik4 in the forebrain of mice causes social impairment and increase in anxiety as well as changes in synaptic transmission in the hippocampal trisynaptic circuit.
Mus musculus,Grin1,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",GRIN1,14810,http://www.informatics.jax.org/marker/MGI:95819,http://mouse.brain-map.org/gene/show/14586,"GRIN1_1_KO_HM,GRIN1_1_KO_HM_BCL,GRIN1_1_KO_HM_L838417,GRIN1_1_KO_HM_RSP,GRIN1_2_CN_KO_HM,GRIN1_3_KO_HT,GRIN1_3_KO_HT_MK-801",22806213,"2,344,109,424,211,370","A clinically relevant, highly translatable neural-activity-based biomarker for preclinical screening and therapeutic development across a broad range of disorders that share common endophenotypes and disrupted NMDA-receptro signaling"
Mus musculus,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",GRIN2B,14812,http://www.informatics.jax.org/marker/MGI:95821,,"Grin2b_1_CN_KO_HM,Grin2b_2_CN_KO_HM,Grin2b_3_WT_ANT",20357110,,"Changes in learning, especially flexibility or reversal learning are seen in mouse models that have conditional deletions in Grin2b ( knocked out post natally in specific parts of the forebrain)"
Mus musculus,Grip1,glutamate receptor interacting protein 1,GRIP1,74053,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=58033,http://mouse.brain-map.org/brain/Grip1.html?ispopup=29,"GRIP1_1_KO_HM,GRIP1_2_KO_HM",14730302,,Inactivation of Grip1 causes Fraser syndrome-like defects in mice
Mus musculus,Grm5,"glutamate receptor, metabotropic 5",GRM5,108071,MGI:1351342,,"Grm5_3_CN_KO_CortGlxNeu,Grm5_4_CN_KO_CortGlxNeu,Grm5_5_CN_KO_CortGlxNeu- MPEP,Grm5_5_CN_KO_CortGlxNeu-Ritalin,Grm5_6_cKO_HM_PVN,Grm5_6_cKO_HM_PVN_Amphetamine,Grm5_6_cKO_HM_PVN_PCP-1,Grm5_6_cKO_HM_PVN_PCP-2,Grm5_6_cKO_HM_PVN_PCP-3,Grm5_6_cKO_HM_PVN_PCP-4,Grm5_1_KO_HM,Grm5_2_KO_HT",9185557,"2,394,057,226,260,490",Grm5 null mice display impaired synaptic plasticity
Mus musculus,Grm8,"glutamate receptor, metabotropic 8",GRM8,14823,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=45058,http://mouse.brain-map.org/brain/Grm8.html?ispopup=30,GRM8_1_KO_HM,16045496,,"KO mice are heavier, mildly insulin resistant, display aberrant exploratory activity, and increased anxiety."
Mus musculus,Grpr,gastrin releasing peptide receptor,GRPR,14829,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=9290,http://mouse.brain-map.org/brain/Grpr.html?ispopup=31,"GRPR_5_HM,GRPR_1_KO,GRPR_2_KO_HE,GRPR_3_KO_HT,GRPR_4_KO_HM",9345264,"176,531,969,501,238","GRPR deficient mice showed significantly increased locomotor activity during the dark period, social responses. Aggressive scores such as fighting and biting were not altered in the mutant mice"
Mus musculus,Gsk3b,glycogen synthase kinase 3 beta,GSK3B,56637,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=47273,http://mouse.brain-map.org/brain/Gsk3b.html?ispopup=98,GSK3B_1_KI_HM,20300527,,
Mus musculus,Gstm1,"Glutathione S-transferase, mu 1",GSTM1,14862,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=33080,http://mouse.brain-map.org/brain/Gstm1.html?ispopup=100,GSTM1_1_KO_HM,20178820,,GSTM1 genotype may confer protection against VPA-induced neuronal death
Mus musculus,Gtf2i,general transcription factor II I,GTF2I,14886,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=35866,http://mouse.brain-map.org/brain/Gtf2i.html?ispopup=32,"GTF2I_1_KO_HM,GTF2I_2_KO_HT",21328569,,Involvement in several aspects of embryonic development and the development of social neurocircuitry; contributor to hypersociability in Williams Syndrome
Mus musculus,Hdac3,Histone deacetylase 3,HDAC3,15183,http://www.informatics.jax.org/marker/MGI:1343091,http://mouse.brain-map.org/experiment/show?id=71232781,HDAC3_1_cKO_HM,27428650,,"Neuronal deletion of Hdac3 in mice elicits abnormal locomotor coordination, sociability and cognition"
Mus musculus,Hdac4,Histone deacetylase 4,HDAC4,208727,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=104540,http://mouse.brain-map.org/brain/Hdac4.html?ispopup=95,"HDAC4_1_KO_HM,HDAC4_2_Tg_HM",15537544,,HDAC4 as a central regulator of chondrocyte hypertrophy and skeletogenesis and suggest general roles for class II HDACs in the control of cellular hypertrophy.
Mus musculus,Hmgn1,High mobility group nucleosomal binding domain 1,HMGN1,15312,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=9770,http://mouse.brain-map.org/gene/show/15087,"HMGN1_1_OE_HM,HMGN1_2_KO_HM",22009741,22009741,HMGN1 is an epigenetic factor that contributes to the development of neurodevelopmental disorders
Mus musculus,Homer1,homer homolog 1,HOMER1,26556,http://www.informatics.jax.org/marker/MGI:1347345,http://mouse.brain-map.org/gene/show/26303,"HOMER1_3_KO_HM,HOMER1_2_OE_HM,HOMER1_2_OE_HM_Art,HOMER1_1_KO_HM",,"152,941,472,159,593,000,000,000",Dynamic epigenetic regulation of Homer1 following BDNF-induced plasticity
Mus musculus,Homer1,homer homolog 1,HOMER1,26556,http://www.informatics.jax.org/marker/MGI:1347345,http://mouse.brain-map.org/gene/show/26303,"HOMER1_3_KO_HM,HOMER1_2_OE_HM,HOMER1_2_OE_HM_Art,HOMER1_1_KO_HM",,"152,941,472,159,593,000,000,000",Dynamic epigenetic regulation of Homer1 following BDNF-induced plasticity
Mus musculus,Hoxa1,Homeobox A1,HOXA1,15394,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=9885,http://mouse.brain-map.org/brain/Hoxa1.html?ispopup=33,"HOXA1_3_KO_HM,HOXA1_1_KO_HM,HOXA1_2_KO_HT",1680563,"13,469,221,680,563",Implication of the function of the Hox network during mouse embryogenesis
Mus musculus,Htr1b,5-hydroxytryptamine (serotonin) receptor 1B,HTR1B,15551,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=10014,http://mouse.brain-map.org/brain/Htr1b.html?ispopup=34,"HTR1B_1_KO_HM,HTR1B_2_KO_HT",8091214,8091214,Participation of receptors in aggressive behavior
Mus musculus,Htr2a,5-hydroxytryptamine (serotonin) receptor 2A,HTR2A,15558,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=31828,http://mouse.brain-map.org/brain/Htr2a.html?ispopup=35,"HTR2A_1_KO_HM,HTR2A_2_CN_KI_HM,HTR2A_3_KO_HM,HTR2A_4_KO_HM",16873667,16905592,"Indicate a specific role for cortical 5HT2AR function in the modulation of conflict anxiety, consistent with models of cortical, top-down"" influences on risk assessment."""
Mus musculus,Htr3a,5-hydroxytryptamine (serotonin) receptor 3A,HTR3A,15561,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=10023,http://mouse.brain-map.org/brain/Htr3a.html?ispopup=36,"HTR3A_3_KO_HM,HTR3A_1_V13S_HM,HTR3A_2_V13S_HT",15201326,11826129,"Persistent activation of the hypersensitive and constitutively active 5-HT3A receptor in vivo may lead to excitotoxic neuronal cell death and functional changes in the urinary bladder, resulting in bladder hyperdistension, urinary retention, and overflow incontinence"
Mus Musculus,Ifng,Interferon gamma,IFNG,15978,http://www.informatics.jax.org/marker/MGI:107656,http://mouse.brain-map.org/gene/show/15751,"Ifng_1_KO_HM,Ifng_1_KO_HM_diazepam,Ifng_1_KO_HM_rec-IFNG",27409813,,"Mice deficient in interferon gamma have increased susceptibility to viral, bacterial and parasitic infections and to autoimmune diseases and have impaired social behavior"
Mus musculus,Il1rapl1,interleukin 1 receptor accessory protein-like 1,IL1RAPL1,317553,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=94884,http://mouse.brain-map.org/brain/Il1rapl1.html?ispopup=37,"IL1RAPL1_1_KO_HM,IL1RAPL1_2_KO_HM",20096586,25312502,KO mouse show a reduction of both dendritic spine density and excitatory synapses in the CA1 region of the hippocampus associated with specific deficits in hippocampal long-term synaptic plasticity.
Mus musculus,Immp2l,IMP2 inner mitochondrial membrane peptidase-like,IMMP2L,93757,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=64625,http://mouse.brain-map.org/brain/Immp2l.html?ispopup=38,"IMMP2L_1_Tg_HM,IMMP2L_2_Tg_HT",18094351,,Novel link between mitochondrial dysfunction and infertility and suggest that superoxide ion targeting agents may prove useful for treating infertility in a subpopulation of infertile patients
Mus musculus,Itgb3,integrin beta 3,ITGB3,16416,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=10506,http://mouse.brain-map.org/brain/Itgb3.html?ispopup=39,"ITGB3_1_KO_HM,ITGB3_2_KO_HT",21254450,22557981,Altered social and repetitive behavior which suggests that the integrin beta3 subunit may be involved in brain systems relevant to ASD
Mus musculus,Jakmip1,janus kinase and microtubule interacting protein 1,JAKMIP1,152789,http://www.informatics.jax.org/marker/MGI:1923321,http://mouse.brain-map.org/gene/show/51912,JAKMIP1_1_KO_HM,,26627310,JAKMIP1 is an RNA binding protein
Mus musculus,Kcnma1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",KCNMA1,16531,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=34705,http://mouse.brain-map.org/brain/Kcnma1.html?ispopup=40,"KCNMA1_3_HM,KCNMA1_1_HM,KCNMA1_2_HM",15194823,"1,518,437,716,763,020","Identification of previously unknown roles of potassium channels in mammalian cerebellar function and motor control. In addition, they provide a previously undescribed animal model of cerebellar ataxia"
Mus musculus,Kcnq2,"potassium voltage-gated channel, subfamily Q, member 2",KCNQ2,16536,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=38057,http://mouse.brain-map.org/brain/Kcnq2.html?ispopup=41,KCNQ2_1_VM_HT,21156207,,"Mutant mice exhibit increased susceptibility to induced seizures, and rare spontaneous seizures as adults."
Mus musculus,Lrrc7,Leucine rich repeat containing 7,LRRC7,242274,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=93082,http://mouse.brain-map.org/gene/show/88932,LRRC7_1_KO_HM,22072671,,Densin influences the function of mGluRs and CaMKII at synapses and contributes to localization of mGluR5 and DISC1 in the PSD fraction
Mus musculus,Magel2,"melanoma antigen, familyL,2",MAGEL2,27385,http://www.informatics.jax.org/marker/MGI:1351648,,Magel2_1_KO_HT_m+p-,17893678,17728320,Magel2 KO mice display increased weight gain post weaning and circadian rhythm abnormalities.
Mus musculus,Maoa,Monoamine Oxidase A,MAOA,17161,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=11128,http://mouse.brain-map.org/brain/Maoa.html?ispopup=42,"MAOA_2_A863T_HM,MAOA_3_KO_HM,MAOA_1_KO_HM",7792602,"2,115,609,322,850,460","NE concentrations were increased up to twofold, and cytoarchitectural changes were observed in the somatosensory cortex. Pup behavioral alterations, including trembling, difficulty in righting, and fearfulness were reversed by the serotonin synthesis inhibitor parachlorophenylalanine. Adults manifested a distinct behavioral syndrome, including enhanced aggression in males."
Mus musculus,Mapk1,mitogen-activated protein kinase 1,MAPK1,26413,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=43337,http://mouse.brain-map.org/brain/Mapk1.html?ispopup=99,MAPK1_1_CN_KO_HM,21849556,,"Mutant mice exhibited marked anomalies in multiple aspects of social behaviors, decreased anxiety-related behaviors and impaired long-term memory."
Mus musculus,Mapk8ip2,mitogen-activated protein kinase 8 interacting protein 2,MAPK8IP2,60597,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=48595,http://mouse.brain-map.org/brain/Mapk81p2.html?ispopup=43,MAPK8IP2_1_CN_KO_HM,21048139,,"Mutant mice exhibit reduced AMPA and enhanced NMDA receptor-mediated glutamatergic transmission in cerebellum, altered morphology of Purkinje cell dendritic arbors, and motor and cognitive deficits suggesting an autism phenotype"
Mus musculus,Mbd3,methyl-CpG binding domain protein 3,MBD3,17192,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=39859,http://mouse.brain-map.org/brain/Mbd3.html?ispopup=45,MBD3_1_KO_HM,11274056,,In vivo functions and interrelationships of MBD2 and MBD3
Mus musculus,Mcph1,"microcephaly, primary autosomal recessive 1",MCPH1,244329,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=84442,http://mouse.brain-map.org/brain/Mcph1.html?ispopup=46,"MCPH1_1_KO_HM,MCPH1_2_KO_HT",20107607,,Better define the physiological role and demonstrate MCPH1's essential role in regulation of both programmed and IR-induced DNA damage response
Mus musculus,Mecp2,methyl CpG binding protein 2,MECP2,17257,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=15763,http://mouse.brain-map.org/brain/Mecp2.html?ispopup=47,"MECP2_12_KO_HT,MECP2_5_KO_HE,MECP2_6_CN_KO_HM,MECP2_1_KO_HM,MECP2_2_CN_KO,MECP2_3_CN_HM,MECP2_4_308T,MECP2_34_TG,MECP2_16_KO_HE,MECP2_11_KO_HE,MECP2_10_KO_HM,MECP2_10_KO_HM_Ampakine,MECP2_7_S80A_KI_HM,MECP2_8_CN_KD_HM,MECP2_10_PET1_CN_KO_HM,MECP2_9_TH_CN_KO_HM,MECP2_13_KO_HE,MECP2_14_A140V_HE,MECP2_15_A140V_HT,MECP2_17_CN_KO_HE,MECP2_18_CN_KO_HE,MECP2_19_CKO_HE,MECP2_20_T158A_HE,MECP2_21_T158A_HT,MECP2_22_KO_HE,MECP2_12_KO_HT_CYS,MECP2_12_KO_HT_Cort_H,MECP2_12_KO_HT_Cort_L,MECP2_12_KO_HT_RU486,MECP2_16_KO_HE_Cort_H,MECP2_16_KO_HE_Cort_L,MECP2_16_KO_HE_RU486,MECP2_5_KO_HE_DHF,MECP2_35_TG,MECP2_36_TG,MECP2_23_308T_HT,MECP2_24_308T_HE,MECP2_25_308T_HT_BDE47,MECP2_26_OE_HM,MECP2_27_KO_HT,MECP2_28_KO_HT,MECP2_29_KO_HT,MECP2_30_KO_HM,MECP2_30_KO_HM_ALC,MECP2_31_KO_HT,MECP2_31_KO_HT_ALC,MECP2_32_CKO_HE_PVN,MECP2_33_CKO_HE_SOMN,MECP2_36_TG_ASO1,MECP2_36_TG_ASO2,MECP2_36_TG_ASO3,MECP2_36_TG_ASO4,MECP2_36_TG_ASO5,MECP2_37_TG,MECP2_38_TG_Cre,MECP2_39_KI_R306C_HE,MECP2_40_KI_STOP_HE,MECP2_40_KI_STOP_HE_Avl-cre,MECP2_41_CKO_HE,MECP2_42_CKO_HE,MECP2_43_CKO_HT,MECP2_44_CKO_HT",11242118,"11242117,12160743,15351775,15977646,16467389,17913925,19225110,19812320,19998492,20007372,20138994,20163734,20392952,21068835,22119903,22127389,22186023,22194327,22231481,22249109,22343140,22378884,23026749,23227269,25088363,26158416,26590342,26605526,27293187",Mecp2 duplication caused intellectual disability and autism; restoration of MeCP2 copy number in the adult abrogates the symptoms of autism
